,conversation_id,uc5,outcome,uc4,sender_id,user_message,bot_message,created_time
12,9,,,,1734523043236410,K phải xe đẩy kiểu này,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-06-02T07:37:07+0000
13,9,,,,1734523043236410,Chat với nhân viên,xe nằm cho bé sơ sinh k có loại duwosi 1 triệu đâu ạ,2020-06-02T07:37:28+0000
14,16,,,uc_s4.2,2037877336278437,Xe đẩy umoo còn k ạ?,mk còn ạ 750k,2020-06-02T15:12:19+0000
15,22,uc_s5.2,,,1476585065791295,Cái bảng hola thì bn b,,2020-06-03T02:04:19+0000
16,22,,,,1476585065791295,Có nam châm dính ko hay chỉ viết thôi,,2020-06-03T02:04:33+0000
17,23,uc_s5.2,,,2869775669730192,Xe đẩy gấp gọn Vinng mẫu mới nhất là của năm bnhieu ạ,,2020-06-02T12:04:27+0000
18,23,,,,2869775669730192,Xe đẩy kèm theo những j ạ,mình ko còn VINNG ạ,2020-06-02T12:04:42+0000
19,23,,,,2869775669730192,,,2020-06-03T02:16:19+0000
20,23,,other,,2869775669730192,Dạ,,2020-06-03T02:16:19+0000
21,25,,,,1823938154327596,shop ơi,,2020-06-02T11:34:36+0000
22,25,,,uc_s4.2,1823938154327596,cho mình hỏi bên mình còn xe đạp 3 bánh naddle ko shop ?,mình ko còn ạ,2020-06-02T11:34:51+0000
23,25,,,,1823938154327596,ukie cảm ơn shop nhé,Cảm ơn bạn!,2020-06-03T02:31:36+0000
24,30,uc_s5.1,,,4015050185201891,"Shop ơi, trên mình có địu cho bé không? Và có những loại và giá như nào? Shop nhắn giúp mình nhé",Hiện tại sản phẩm Địu   shop đang có những *giá* sau ạ:,2020-06-03T03:47:53+0000
25,30,,,,4015050185201891,Sao cũng được!,Hiện tại sản phẩm Địu   shop đang có những *màu* sau ạ:,2020-06-03T03:48:39+0000
26,30,,,,4015050185201891,Hồng,Hiện tại sản phẩm Địu  Hồng  shop đang có những *hãng sản xuất* sau ạ:,2020-06-03T03:48:54+0000
27,30,,,,4015050185201891,Sao cũng được!,Hiện tại sản phẩm Địu  Hồng  shop đang có những *độ tuổi sử dụng* sau ạ:,2020-06-03T03:49:02+0000
28,30,,,,4015050185201891,0-36 Tháng,"Hiện tại sản phẩm Địu  Hồng, độ tuổi sử dụng 0-36 Tháng  shop đang có những *kích thước* sau ạ:",2020-06-03T03:49:10+0000
29,30,,,,4015050185201891,Sao cũng được!,bạn xem dùm mk,2020-06-03T03:49:22+0000
30,30,,,,1454523434857990,,https://shopee.vn/search?keyword=%C4%91%E1%BB%8Bu&shop=36371562,
31,30,,,,4015050185201891,,,2020-06-03T04:04:45+0000
32,33,uc_s5.1,,,1939147366104320,báo giá giúp m bộ này,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-06-03T04:31:40+0000
33,33,,,,1939147366104320,,"Sản phẩm  Bàn ghế đa năng Lego Holla chính hãng / Mẫu Gấu  hiện shop đang có mức giá: *890,000 VND (giá gốc 1,400,000 VND)*.",2020-06-03T04:33:26+0000
34,33,,,,1454523434857990,,,
35,33,,,,1939147366104320,bàn này là loại khác hả b,,2020-06-03T04:40:46+0000
36,33,,,,1939147366104320,,"Sản phẩm Bàn ghế chơi Lego đa năng cao cấp gấp gọn SMONEO  hiện shop đang có mức giá: *1,100,000 VND (giá gốc 1,890,000 VND)*.",2020-06-03T04:40:47+0000
37,33,,,,1454523434857990,,,
38,33,,,,1939147366104320,bàn đầu tiên 850k là k gập được đúng k b,,2020-06-03T04:42:39+0000
39,34,,silence,,3124684960926084,Get Started,"Chào Lynn Nguyen, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-06-03T04:43:54+0000
40,34,,,uc_s4.3,3124684960926084,shop còn ghế ăn dặm mastela hoạ tiết cáo nhỏ ko ạ ?,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *giá* sau ạ:,2020-06-03T04:44:05+0000
41,34,,,,3124684960926084,Sao cũng được!,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *màu* sau ạ:,2020-06-03T04:44:37+0000
42,34,,,,3124684960926084,Sao cũng được!,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *trọng lượng* sau ạ:,2020-06-03T04:44:47+0000
43,34,,,,3124684960926084,Sao cũng được!,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *kích thước* sau ạ:,2020-06-03T04:44:55+0000
44,34,,,,3124684960926084,Sao cũng được!,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *độ tuổi sử dụng* sau ạ:,2020-06-03T04:45:04+0000
45,34,,,,3124684960926084,Sao cũng được!,Dạ mời bạn tham khảo sản phẩm Ghế Ăn hãng sản xuất Mastela hiện có tại shop nhé!,2020-06-03T04:45:15+0000
46,34,,,,1454523434857990,,,
47,34,,,,3124684960926084,có ghế ăn mastela 1015 không ạ ?,Hiện tại sản phẩm Ghế Ăn hãng sản xuất Mastela  shop đang có những *giá* sau ạ:,2020-06-03T04:46:10+0000
48,40,,,,1828419810617061,,,2020-06-03T09:16:27+0000
49,40,,,,1828419810617061,Xe này bnh thế c,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-06-03T09:16:33+0000
50,40,,,,1454523434857990,,,
51,40,,,,1454523434857990,,...,
52,40,,,,1828419810617061,cái này,"Dạ, sản phẩm hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-06-03T09:17:34+0000
53,40,,,uc_s4.1,1828419810617061,Xe lắc k còn mẫu nào à c,"Sản phẩm  Xe Chòi Chân   có giá bán thấp nhất từ: *510,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-03T09:17:58+0000
54,40,,,,1454523434857990,,,
55,40,,,,1828419810617061,,,2020-06-03T09:20:59+0000
56,40,,,,1828419810617061,Xe xanh ạ,Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!,2020-06-03T09:21:00+0000
57,40,,,,1454523434857990,,,
58,40,,thank,,1828419810617061,Mình thấy còn mẫu,,2020-06-03T09:22:06+0000
59,40,,,,1828419810617061,Bạn cho mình đătj qua đây đc k,Hiện tại sản phẩm Xe Đẩy  Xanh  shop đang có những *giá* sau ạ:,2020-06-03T09:22:18+0000
60,40,,,,1828419810617061,Là sao ạ,,2020-06-03T09:22:59+0000
61,51,,,,4006833302724537,,,2020-06-04T02:39:56+0000
62,51,,,,4006833302724537,Giá bn b oie,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-06-04T02:39:59+0000
63,51,,,,1454523434857990,,,
64,51,,,,1454523434857990,,...,
65,51,,,,4006833302724537,cái này,"Sản phẩm Đàn piano cổ điển kèm Mic Winfun 2045  hiện shop đang có mức giá: *950,000 VND (giá gốc 1,500,000 VND)*.",2020-06-04T02:42:49+0000
66,51,,,,1454523434857990,,,
67,51,,,,4006833302724537,Shopee giá 880.000 thì mình mua bên nào b ơi,à vâng bên mk mới gaimr giá,2020-06-04T02:43:26+0000
68,51,,,,1454523434857990,,bạn mua fb hoặc shopee đều dk ạ,
69,51,,,,4006833302724537,Oke vậy m mua luôn ở đây nha b,,2020-06-04T03:24:10+0000
70,51,,,,4006833302724537,"Phạm ánh tuyết 
152 trần đình xu, phường Nguyễn cư trinh quận 1 tp hcm 
0935335669",,2020-06-04T03:24:21+0000
71,51,,,,4006833302724537,Ship qua đây nữa thì tổng là bn,khoảng hơn 100k ạ,2020-06-04T03:24:29+0000
72,51,,silence,,4006833302724537,Oke b,,2020-06-04T03:27:47+0000
73,51,,,,4006833302724537,Vậy chốt cho m nha,,2020-06-04T03:27:53+0000
74,51,uc_s5.2,other,,4006833302724537,Giá đàn 880.000 + phí ship trên 100.000 đúng ko b,bạn ck mình gửi nhe,2020-06-04T03:28:21+0000
75,51,,,,4006833302724537,Giờ m Ck 880.000 pk b,,2020-06-04T03:28:57+0000
76,51,,,,4006833302724537,Cho m stk,ok bạn nhe,2020-06-04T03:29:02+0000
77,51,,silence,,1454523434857990,,"❌ 0611001928974 - VietcomBank chi nhánh Ba Đình. Nguyễn Lê Thuỷ

❌ 19034987361010 - Nguyễn Lê Thuỷ
Ngân hàng Techcombank


Nội dung chuyển khoản Snow Pham  ghi rõ Tên Facebook + số điện thoại và nhắn lại bên mình sau khi CK nhé.",
78,51,,,,4006833302724537,Khoảng bao lâu m nhận được hàng ah,dạ khaonrg 5-7 ngày ạ,2020-06-04T03:29:21+0000
79,83,,,,1454523434857990,,,
80,83,,,,1454523434857990,,,
81,83,,silence,,1454523434857990,,e còn mẫu này,
82,83,,,,1454523434857990,,vâng,
83,83,uc_s5.2,silence,,4506969552662036,"Mẫu này cũng giá 3,350,000 VND",vâng ạ e còn mẫu này thôi,2020-06-05T08:05:14+0000
84,83,,,,1454523434857990,,vâng ạ e còn mẫu này thôi,
85,83,,,,4506969552662036,,,2020-06-05T08:05:53+0000
86,83,,,,4506969552662036,Mẫu này còn đúng không ạ?,,2020-06-05T08:06:03+0000
87,83,,silence,,4506969552662036,Mẫu có cả bóng rổ ý ạ,ko ạ mẫu e vừa gửi thôi ạ,2020-06-05T08:06:14+0000
88,83,,,,1454523434857990,,mẫu bóng rổ e hết r,
89,83,,silence,,1454523434857990,,mẫu e gửi có phát nhạc ở xishc đu,
90,83,,,,4506969552662036,,,2020-06-05T08:07:26+0000
91,83,,,,4506969552662036,Còn 2 mẫu này,,2020-06-05T08:07:29+0000
92,83,,other,,4506969552662036,"3,350k",,2020-06-05T08:07:36+0000
93,83,,,,4506969552662036,Đúng ko bạn,vâng,2020-06-05T08:07:39+0000
94,83,,,,4506969552662036,Bạn cho mình xin kích thước với,,2020-06-05T08:13:37+0000
95,83,,,,4506969552662036,,1m8x2m c a,2020-06-05T08:13:49+0000
96,83,,,,4506969552662036,,,2020-06-05T08:20:46+0000
97,83,,,,4506969552662036,Cảm ơn shop,,2020-06-05T08:20:52+0000
98,83,,other,,4506969552662036,Mình sẽ nt khi đặt hàng nhé,vâng ạ,2020-06-05T08:21:03+0000
99,85,,,,2181209528639709,Get Started,"Chào Rin Ken, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-06-05T03:57:42+0000
100,85,uc_s5.1,,,2181209528639709,Alo xe V3 bao nhiêu shop ơi,Sản phẩm bạn đang tìm có phải là?,2020-06-05T03:58:01+0000
101,85,,,,2181209528639709,Xe Đẩy,Hiện tại sản phẩm Xe Đẩy   shop đang có những *giá* sau ạ:,2020-06-05T03:58:26+0000
102,85,,,,2181209528639709,,,2020-06-05T03:59:32+0000
103,85,,,,2181209528639709,Xe kiểu này V3,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-06-05T03:59:41+0000
104,85,,,,1454523434857990,,,
105,85,,,,1454523434857990,,...,
106,85,,,,2181209528639709,Gửi cho mình mấy mẫu ghế ngồi ăn dặm nữa,,2020-06-05T08:50:53+0000
107,85,,,,2181209528639709,Mình xem ok thì mình lấy luôn,Hiện tại sản phẩm Ghế Ăn   shop đang có những *giá* sau ạ:,2020-06-05T08:51:04+0000
108,85,,,,2181209528639709,Sao cũng được!,,2020-06-05T08:51:21+0000
109,85,,,,2181209528639709,,,2020-06-05T08:52:13+0000
110,85,,,,2181209528639709,Dạng ghế này nhé,https://shopee.vn/-CH%C3%8DNH-H%C3%83NG-Gh%E1%BA%BF-%C4%91a-n%C4%83ng-HANBEI-(-full-b%C3%A1nh-xe-%C4%91%E1%BB%87m-l%C6%B0ng-H%C3%A0ng-nh%E1%BA%ADp-kh%E1%BA%A9u-ch%C3%ADnh-h%C3%A3ng-h%E1%BB%99p-ti%E1%BA%BFng-Anh-)-i.36371562.2711535629,2020-06-05T08:52:21+0000
111,92,,,,2200979489976377,Bạn ơi,,2020-06-06T00:16:58+0000
112,92,,,uc_s4.2,2200979489976377,Shop còn xe scooter nào k,,2020-06-06T00:17:07+0000
113,94,,,,2630132590352422,B ơi,,2020-06-05T14:25:00+0000
114,94,,thank,uc_s4.2,2630132590352422,Ghế ô tô Joie Stage bên b còn hàng ko,mình ko còn ạ,2020-06-05T14:25:13+0000
115,103,,,,2273048092739002,,,2020-06-05T15:52:52+0000
116,103,,,,2273048092739002,bên mình có sỉ mẫu này k ạ,mình bán lẻ =sỉ r ạ,2020-06-05T15:52:59+0000
117,103,uc_s5.1,,,2273048092739002,mẫu này giá sao ạ,dạ 760k ạ,2020-06-06T03:41:11+0000
118,104,uc_s5.3,other,,3364268720272309,xe đây chuột mickey có châm bi mau đỏ gia bn á shop ơi,mình không còn mẫu đó ạ,2020-06-06T04:25:20+0000
119,107,,,,2211721262205103,,,2020-06-05T11:31:51+0000
120,107,,,,2211721262205103,Tham nay con hang k b? Size bnhiu nhi?,mình không còn ạ,2020-06-05T11:32:02+0000
121,107,,,uc_s4.2,2211721262205103,Shop con tham silicone k a,mình hết r ạ,2020-06-06T04:28:21+0000
122,124,,,uc_s4.2,2000632963290799,M còn phao cổ cho bé sơ sinh ko ạ,mình không còn ạ,2020-06-07T01:35:37+0000
123,130,uc_s5.1,,,2026301540780894,Cầu trượt e gửi ảnh chị ghi 13xx là Bn vậy c,,2020-06-07T10:56:54+0000
124,130,,silence,,2026301540780894,Có sẵn k ah,,2020-06-07T10:57:02+0000
125,130,,,,2026301540780894,C ib cho e,,2020-06-08T02:24:09+0000
126,135,,,uc_s4.2,1453642688045073,Shop còn ghế ăn dặm Aria care ko ạ,Có phải bạn muốn hỏi hãng sản xuất sau không ạ?,2020-06-08T04:20:53+0000
127,135,,,,1453642688045073,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-06-08T04:21:15+0000
128,135,,,,1454523434857990,,,
129,135,,,,1454523434857990,,...,
130,135,,,,1454523434857990,,mình khoonng còn ạ,
131,135,,,,1453642688045073,Ok ạ,"Chào Diệu Vy, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-06-08T04:22:07+0000
132,142,,,uc_s4.2,1617978794922445,Bên mìh còn bán máy hút sữa của medela k??,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-06-08T07:39:47+0000
133,142,,,,1617978794922445,???,Có phải bạn muốn hỏi hãng sản xuất sau không ạ?,2020-06-08T07:40:00+0000
134,142,,,,1617978794922445,Không đúng!,"Sản phẩm Máy hút sữa điện đôi Avent Snow (Chính hãng - Cty Vạn An)  hiện shop đang có mức giá: *4,990,000 VND (giá gốc 6,950,000 VND)*.",2020-06-08T07:40:08+0000
135,142,,,,1454523434857990,,,
136,142,,,,1617978794922445,Mìh muốn hỏi máy hút sữa của medela,,2020-06-08T07:40:42+0000
137,142,,,,1617978794922445,Trc mình đã từg mua sp bên bạn,Có phải bạn muốn hỏi hãng sản xuất sau không ạ?,2020-06-08T07:40:53+0000
138,142,,,,1617978794922445,Thấy rất tin tưởng,dạ hiện bên mình ko bán hút sữa medela r ạ,2020-06-08T07:40:57+0000
139,142,,,,1617978794922445,Vậy àh,,2020-06-08T07:41:23+0000
140,142,,,,1617978794922445,Tiếc nhỉ,,2020-06-08T07:41:26+0000
141,142,,,,1617978794922445,:(,,2020-06-08T07:41:27+0000
142,142,,,,1617978794922445,Bạn quen bên nào bán hàg chuẩn như bên bạn đã từg bán k?,0358640912 đây là số bạn bên hãng ạ,2020-06-08T07:41:42+0000
143,142,,silence,,1454523434857990,,bạn call thử dùm mk ạ,
144,142,,,,1617978794922445,Hàng mới hay like new vậy bạn?,vì lâu r bên mk ko bán nên ko rõ bên đó còn loại anof,2020-06-08T07:42:28+0000
145,142,,,,1454523434857990,,b thử lhe ạ,
146,142,,,,1617978794922445,Uki b,,2020-06-08T07:43:24+0000
147,142,,,,1617978794922445,Thanks b nhé,vâng ạ,2020-06-08T07:43:28+0000
148,144,uc_s5.1,,,2925041644199668,Xin giá máy giặt doux với,"💥 Máy giặt tự động mini DOUX cao cấp 
GẤU & BÍ NGÔ KM CHỈ #2990K 

Khối lượng giặt: 4kg

. Độ ồn giặt <62bB, thân máy ổn định không rung lắc

. Công suất: 350W siêu tiết kiệm điện năng

. Kích thước: 39*44*72cm. Thiết kế máy thời trang và sang trọng, phù hợp đặt cực gọn ngay trong nhà tắm mà k tốn diện tích

. Độ bền cao, tuổi thọ máy lớn với 1 NĂM BẢO HÀNH chính hãng tại Việt Nam.

Thông tin chi tiết và ảnh thật các m,ẹ xem dùm mình link dưới nhe :

https://www.facebook.com/shopgauvabingo/posts/2448311358812521",2020-06-07T09:56:46+0000
149,144,,silence,,2925041644199668,Mình đặt bao giờ có hàng nhi,bạn ở đâu ạ,2020-06-08T03:45:25+0000
150,144,,,,2925041644199668,Mình định công,dạ nếu b lấy mai hàng bên mk ve ạ,2020-06-08T05:32:33+0000
151,144,,,,2925041644199668,Ok có gì tối mình báo,,2020-06-08T08:29:32+0000
152,145,uc_s5.1,,,3156636967723353,Bộ này bao tiền shop ơi ?,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-06-08T05:42:05+0000
153,145,,,,1454523434857990,,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2481992345444422/?comment_id=2484499995193657),
154,145,,,,1454523434857990,,dạ 3390k ạ,
155,145,,,,3156636967723353,cả chuồng cầu trượt ngựa,,2020-06-08T08:36:16+0000
156,145,uc_s5.1,,,3156636967723353,Nếu mình chỉ mua chuồng và cầu trượt thì là bao nhiêu ?,mình ko bán rời cầu trượt r ạ,2020-06-08T08:36:40+0000
157,145,,,,1454523434857990,,"Quây bóng Hola Vương miện chính hãng gồm 2 size: 1m6x 1m8 & 1m8 x 2m
Full bộ gồm:

. 01 quây bóng
. 01 thảm chống 2 mặt XPE
. bóng Pastel

Size 1m6 x 1m8 Gấu & Bí Ngô giá KM chỉ 1750K
Size 1m8 x 2m Gấu & Bí Ngô giá KM chỉ 1850K

Ảnh Bạn Quân Dấu Tên tham khảo tại đây giúp mình:  

https://www.facebook.com/shopgauvabingo/posts/2436360940007563",
158,146,,,,1454523434857990,,vâng ạ,
159,146,,,,4655795327779483,giao trc 4h giúp mình nhé,,2020-06-08T06:54:09+0000
160,146,,,,4655795327779483,"mình lại k đủ tm ở nhà, bạn giao hàng m ktra rồi ck nhé",,2020-06-08T06:54:32+0000
161,146,,thank,,4655795327779483,cho m xin stk luôn,"❌ 0611001928974 - VietcomBank chi nhánh Ba Đình. Nguyễn Lê Thuỷ

❌ 19034987361010 - Nguyễn Lê Thuỷ
Ngân hàng Techcombank


Nội dung chuyển khoản Đào Hoàng Oanh  ghi rõ Tên Facebook + số điện thoại và nhắn lại bên mình sau khi CK nhé.",2020-06-08T06:54:35+0000
162,146,,,,4655795327779483,ok bạn,,2020-06-08T06:56:44+0000
163,146,,,,4655795327779483,bạn ship hàng trc 4h nhé,vaag bên mk giao dk duwosi chân tòa nhà thôi b nh,2020-06-08T06:56:48+0000
164,146,,,,4655795327779483,sau 4h k có người ở nhà,,2020-06-08T06:56:51+0000
165,146,,,,4655795327779483,ok,,2020-06-08T06:56:52+0000
166,146,,,uc_s4.3,4655795327779483,shop mình còn xe đẩy mamago compact 319 màu đen k nhỉ,,2020-06-08T07:00:48+0000
167,146,,,,4655795327779483,giá tnao ạ,,2020-06-08T07:00:50+0000
168,146,,,,4655795327779483,có hàng thì nhắn m nhé,,2020-06-08T07:03:21+0000
169,146,,,,4655795327779483,mamago bảo hành tnao nhỉ,bảo hành 6 tháng ạ,2020-06-08T07:03:26+0000
170,146,,,,4655795327779483,bảo hành tại shop đúng k ạ?,bảo hành tại hãng luôn c ạ,2020-06-08T07:04:04+0000
171,146,,,,4655795327779483,"ok bạn, cứ ship cho mình cái ghế trc nhé",,2020-06-08T07:07:59+0000
172,146,,,,4655795327779483,mình đã ck từ tài khoản Hoàng Phú Quý nhé,vâng ạ mình cảm ơn,2020-06-08T08:45:08+0000
173,146,,,,4655795327779483,,,2020-06-08T08:45:44+0000
174,146,,,,4655795327779483,có xe mamago compact thì nhắn m nhé,ok b ạ xe đó mk còn đỏ thôi ạ,2020-06-08T08:45:54+0000
175,146,,,,4655795327779483,uh khi nào xe đen về ý,oki b,2020-06-08T08:46:17+0000
176,158,,,,2209895182365535,,,2020-06-07T23:28:54+0000
177,158,,other,,2209895182365535,Cho mình hỏi giá 3 sản phẩm này ạ,bàn ghế mk hết,2020-06-07T23:29:05+0000
178,158,,,,1454523434857990,,kệ 1350k,
179,158,,,,1454523434857990,,xích đu 1290k ạ,
180,158,,,uc_s4.1,2209895182365535,Bên mình còn loại cầu trượt nào cho bé nữa k ạ,https://shopee.vn/C%E1%BA%A6U-TR%C6%AF%E1%BB%A2T-B%E1%BA%ACP-B%C3%8ANH-HOLLA-3IN1-i.36371562.7413613537,2020-06-09T01:53:55+0000
181,159,,,,3099266850165938,,,2020-06-08T15:26:47+0000
182,159,,,,3099266850165938,Báo giá giúp mình ạ,mk còn kệ 620k,2020-06-08T15:26:52+0000
183,159,,,,3099266850165938,Có bàn ghế k ạ,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-06-09T02:06:18+0000
184,159,,,,3099266850165938,,,2020-06-09T02:07:47+0000
185,159,,,,3099266850165938,Đây ạ,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-06-09T02:07:50+0000
186,159,,silence,,1454523434857990,,,
187,159,,,,1454523434857990,,...,
188,159,,,,3099266850165938,Không có cái nào!,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-06-09T02:08:35+0000
189,159,,,,3099266850165938,Bộ mình gửi anh đó ạ,mình không còn ạ,2020-06-09T02:08:47+0000
190,159,,silence,,3099266850165938,Ok,,2020-06-09T02:24:31+0000
191,159,uc_s5.1,,,3099266850165938,Bộ đó tâmd mấy tiền v ạ,khoảng trên duwosi 1300k ạ,2020-06-09T02:24:41+0000
192,159,,silence,,3099266850165938,Dạ mình cảm ơn,"Sản phẩm  Ghế Ô Tô hãng sản xuất Graco, giá 5m - 10m, độ tuổi sử dụng 2 Tuổi  có giá bán thấp nhất từ: *7,560,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-09T02:28:04+0000
193,161,,,,1454523434857990,,,
194,161,uc_s5.2,silence,,2971528689595051,Ghế ô tô giá dưới 5tr,"Sản phẩm  Ghế Ô Tô giá dưới 5tr  có giá bán thấp nhất từ: *4,320,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-09T02:33:04+0000
195,161,,,,1454523434857990,,,
196,161,uc_s5.3,,,2971528689595051,Ghế ô tô Graco giá dưới 5tr,"Dạ, sản phẩm Ghế Ô Tô hãng sản xuất Graco, giá dưới 5tr hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-06-09T02:33:53+0000
197,161,uc_s5.2,,,2971528689595051,Ghế ô tô cho trẻ em giá dưới 7tr,Hiện tại sản phẩm Ghế Ô Tô giá 7tr  shop đang có những *hãng sản xuất* sau ạ:,2020-06-09T02:34:54+0000
198,161,,,,2971528689595051,Sao cũng được!,Hiện tại sản phẩm Ghế Ô Tô giá 7tr  shop đang có những *màu* sau ạ:,2020-06-09T02:35:20+0000
199,161,,,,2971528689595051,Sao cũng được!,Hiện tại sản phẩm Ghế Ô Tô giá 7tr  shop đang có những *nơi sản xuất* sau ạ:,2020-06-09T02:35:26+0000
200,161,,,,2971528689595051,Sao cũng được!,Dạ mời bạn tham khảo sản phẩm Ghế Ô Tô giá 7tr hiện có tại shop nhé!,2020-06-09T02:35:33+0000
201,161,,,,1454523434857990,,,
202,161,,,,2971528689595051,Bỉm cho trẻ 16 tháng,"Dạ mời bạn tham khảo sản phẩm Ghế Ô Tô giá 7tr, độ tuổi sử dụng Trẻ 16 Tháng hiện có tại shop nhé!",2020-06-09T02:36:43+0000
203,161,,silence,,1454523434857990,,,
204,161,,,,1454523434857990,,sr a bên e ko có bỉm,
205,161,,,,1454523434857990,,e xin lỗi bên e đang test phân mềm trả lời tự động,
206,161,,,,1454523434857990,,a muốn mua ghế ô tô klhoangr bn tiền ạ,
207,161,,,,2971528689595051,"Ok, mình thấy bot hay dùng thử thôi bạn nhé. Tks.",vâng,2020-06-09T02:38:22+0000
208,161,,silence,,2971528689595051,Ghế xe ô tô cho trẻ dưới 10 tuổi,,2020-06-09T02:40:03+0000
