sentence,og_sentence,kmeans_cluster,x,y
người phễu cũng có mùi,Ngửi phễu cũng có mùi,3,0.575531,-62.3615
thực sự là thử ở nhà mùi rất rõ,Thực sự là thử ở nhà mùi rất rõ,10,-52.274761,-46.797207
bên bạn,Bên b,9,19.693445,65.070396
phí sưca mình mua,Pha sưca mình mua,14,-16.836977,-44.982426
máy,Máy,1,12.789766,78.377853
không biết gắn vào đâu ạ,Ko biết gắn vào đâu ạ,8,15.551171,-6.653066
thấy cái này rời ra,Thấy cái này rời ra,2,36.748734,13.08696
mình ở lạng sơn nếu mình lấy thì vận chuyển thế nào bạn nhỉ,M ở Lạng Sơn nếu m lấy thì vận chuyển tnao b nhỉ,0,13.101501,14.164356
tư vấn giúp mình,tư vấn giúp mình,12,-40.324524,32.664894
hôm trước mình thấy bạn đăng loại nào 999 không ấy nhỉ,hôm trước mình thấy b đăng loại nào 999 k ấy nhỉ,0,20.328794,18.898987
máy mình lúc nào cũng bình thường,máy mình lúc nào cũng bthg,8,38.853222,8.0102
mình vừa nước với bạn ý rồi,mình vừa nc vs bạn ý rồi,0,17.68524,46.587307
bạn kiểm tra giúp mình,bạn ktra giúp mình,12,-36.458344,36.283489
thanh đi quanh lại bảo đọc số giao mình lại ra 1 số không phải của mình,quanh đi quanh lại bảo đọc số giao mình lại ra 1 số k phải của mình,0,-2.304856,26.464443
lại bảo gọi mình không được,lại bảo gọi mình k đk,1,-8.586516,64.663361
cuối năm gửi fêback cho nhà gấu bí,Cuối năm gửi feedback cho nhà Gấu Bí,3,-25.211533,-66.457214
1 2 hôm nữa mình qua nhé,"1,2 hôm nữa mình qua nhé",1,2.432483,76.060791
mình ở gần nhà bạn,Mình ở gần nhà bạn,4,-44.643551,9.081393
thảm này còn khuyến mại kh ạ,Thảm này còn km kh ah,7,31.108027,-44.727421
rồi báo shop,Rồi báo shop,12,-26.304424,52.103138
kiên giang shop,Kiên giang shop,10,-32.295406,-54.359928
em gọi rồi chị nhé,E gọi r c nhe,1,-9.237125,66.658516
để mình về độ đã nhé,Để mình về đo đã nhé,12,-26.76296,38.375225
0936168188,0936168188,11,60.908836,-35.858654
59 lương ngọc quyến - hoàn kiếm - hà nội,59 lương ngọc quyến - hoàn kiếm - hà nội,13,-73.539276,-13.717204
860k là cái tập đi đúng không ạ,860k là cái tập đi đúng ko ạ,8,21.586853,12.505164
đó ra đã thế,Đổ ra đã thế,2,39.738789,32.849144
con mình bóc nguyên hộp,Còn mình bóc nguyên hộp,3,-9.688759,-52.126099
để chân có rồi,Để chân có rồi,0,3.967259,38.414654
tác dụng của nó là gì nhỉ,Tác dụng của nó là gì nhỉ,8,29.024607,-21.480068
đâu,Đâu,13,-49.662525,-18.598385
mình không biết lắp vào đâi,M ko biết lắp vào đâi,6,-10.793592,3.127359
mình nhận được rồi,M nhận dc rồi,1,-32.215221,68.134972
anh đó gọi cho mình rồi,Anh đó gọi cho mình rùi,1,-15.517137,54.372833
mai giao cho mình trg buổi sáng nhé mình cần gấp,Mai giao cho mình trg buổi sáng nhé mình cần gấp,6,-26.582598,-8.551432
vậy ạ,vậy ạ,2,50.61483,39.502693
giao trong hôm nay sớm cho mình nhé,giao trong hôm nay sớm cho mình nhé,12,-37.345531,63.35244
mình ở sơn la,mình ở sơn la,13,-46.017872,-7.358009
cái mình lấy nè,Cái mình lấy nè,6,2.842407,3.049653
chị đặt rồi nhé nhớ lấy đúng hươu hồng nha em,"C đặt r nhé , nhớ lấy đúng hươu hồng nha e",6,-17.106239,-7.348127
chị kiểm tra giúp em,C kiểm tra giúp em,12,-36.044357,36.004784
em chuyển tiền rồi đó ạ,Em chuyển tiền rùi đó ạ,0,4.838364,44.410072
ý em là thứ 2 hay thứ mấy nhận được ạ,Ý em là thứ 2 hay thứ mấy nhận được ạ,0,17.452158,38.370506
thứ 2 gửi nhận được ạ,Thứ 2 gửi nhận được ạ,12,-13.334732,28.276047
mai nhận được không chị,Mai nhận đk k c,1,-6.996368,60.945763
để em cần tài chính,đẻ e căn tài chính,6,-12.185039,8.3494
vậy nên mua combi ạ,Vậy nên mua combi ạ?,8,27.071749,-7.298196
shop mở cửa tới hnao ạ,shop mở cửa tới hnao ạ,3,1.474384,-67.150703
tối cứ giao đi,Tối cứ giao đi,6,-21.309511,-2.24852
gối là mấy giờ,Tối là mấy giờ?,8,8.136095,0.801089
khoảng mấy giờ để mình sắp xếp người,Khoảng mấy giờ để mình sắp xếp người,14,-2.934042,-16.566996
chưa gửi hả shop,Chưa gửi hả shop??,12,-22.03668,49.533112
đ/c khánh 0914 634 889 sảnh căn hộ - tháp bạn - díovẻ complẽ 302 cầu giấy,"Đ/c: khánh 0914.634.889
Sảnh căn hộ - tháp B - discovery complex
302 cầu giấy",10,-55.804886,-51.093735
em nhờ ̀ng nhận giúp vì em không ở nhà,E nhờ ̀ng nhận giúp vì e ko ở nhà,6,-13.716192,12.426722
0344154925 chị ạ,0344154925 chị ạ,7,10.271699,-43.237682
0344154925,0344154925,11,74.751884,-36.304592
chị check giúp em,Chị check giúp e,12,-35.596901,36.626877
em 1 xúc xắc nữa nhé,E 1 xúc xắc nữa nhé,14,-17.225319,-23.953886
nhưng aroma thì dùng được đến mấy tuổi,Nhưng aroma thì dùng được đến mấy tuổi,8,7.834662,-1.018786
ui không ngả được ạ,Ui không ngả dc ạ,14,3.916073,-34.681911
mình chọn số rồi ai,Mh chèn số rồi ai,6,-10.87309,11.154578
đăng giúp mình nha shop,Đăng giúp mình nha shop,1,-21.950609,59.599098
mình cần tly lại 3 5 triệu có bớt ạ,"Mh cần tly lại 3,5tr có bớt ạ.",14,10.406291,-23.260328
giao bé lớn rồi không chịu dùng nữa,Giừo bé lớn r ko chịu dùng nữa,6,-11.305307,-0.077727
bé dùng được 1 tgian ngắn thôi ạ,Bé dùng dc 1 tgian ngắn thôi ạ,14,8.985708,-20.277225
mình mua nôi rung bên shop,Mình mua nôi rung bên shop,6,-3.447459,4.025856
chuyển cho mình về ngõ 217 đê la thành nhà ạ7 khu văn phòng quốc hội,Chuyển cho mình về ngõ 217 đê la thành nhà a7 khu văn phòng quốc hội,13,-47.330624,-13.58954
45k/c ạ,45k/c ah?,3,-25.28618,-83.104553
135 xã đàn,135 Xã đàn,10,-55.617851,-59.653862
bạn cho mình xin kích thước với,b cho mình xin kích thước vs,5,69.616798,-3.33273
loại giống vầy,Loại giống vầy,10,-39.273502,-77.583267
phần thân thì 74,Phần thân thì 74,10,-56.079903,-65.4897
tháng cầu thang chỗ cao nhất cao 79cm,Thành cầu thang chỗ cao nhất cao 79cm,7,20.749098,-62.223297
cộng 90cm,Rộng 90cm,5,92.006973,2.976703
bên mình không tặng kèm 2 bình sữa hả bạn,bên mình k tặng kèm 2 bình sữa hả b,0,24.271803,43.200699
không gian nhà mình nhỏ nên mình không lấy cầu trượt và xích đu,Ko gian nhà mình nhỏ nên mình ko lấy cầu trượt và xích đu,2,30.519855,28.038054
bạn cho mình xin hình nhé,Bạn cho mình xin hình nhé,1,-0.949069,56.168491
bạn oai,B oai,3,-15.76255,-89.184158
gọi không được,Gọi ko được,1,-7.545074,60.141739
hôm qua tiệm mình làm đến 19h tối mà,Hôm qua tiệm mình làm đến 19h tối mà,14,-5.518073,-26.393652
họ không hề gọi mình luôn áh,Họ ko hề gọi mình luôn áh,3,-12.646324,-48.456615
bưu tá đi phát hôm qua rồi,Bưu tá đi phát hôm qua rồi,14,-12.020216,-44.075779
check vận đơn ra không liên hệ được với ngừoi nhận,Check vận đơn ra ko liên hệ được vs ngừoi nhận,14,-3.284092,-31.081808
bạn cho dùm mình,Bạn cho dùm mình,12,-34.877605,24.37114
mình cần giao về nguyên chí thanh hà nội bạn ạ,Mình cần giao về Nguyễn Chí Thanh Hn bạn ạ,4,-51.850883,5.205502
shop mình mở cửa đến hôm nào à,Shop mình mở cửa đến hôm nào ak,0,22.127293,20.953629
cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,Cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,3,10.695187,-74.147583
em đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,E đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,8,31.516163,4.284849
không ạ,Ko ạ,9,55.591946,62.994873
gửi lại ảnh giúp mình,Gửi lại ảnh giúp mình,1,-22.027641,65.227707
cho mình xin kích thước,Cho mình xin kích thước,5,69.733498,-4.844642
cho mình xin kích thước nhé,cho mình xin kích thước nhé,5,69.204681,-4.143257
người quá,Ngại quá,0,-0.884801,26.184433
đi tặng mà bị hỏng,Đi tặng mà bị hỏng,8,8.229012,-7.371566
mình mua được hơn 1 tháng,Mik mua đc hơn 1 tháng,9,28.221289,69.302422
jo mở ra nó không xì khói nước,Jo mở ra nó ko xì khói nước,3,-10.535368,-73.219879
mình hỏi chút sho,Mik hỏi chút sho,3,-19.82024,-55.485413
bạn oie,Bạn oie,3,-16.09568,-88.758835
ạ được bạn ạ lỗi do mình mà,À được b ạ lỗi do m mà,0,-1.794354,32.93578
vì tối a xã mới ở nhà lắp nên chưa khui,Vì tối a xã mới ở nhà lắp nên chưa khui :)),13,-41.788433,-4.929517
chưa bạn ạ,Chưa b ạ,9,18.373146,61.155315
hộp mới nhận hôm nay mình cũng chưa khui nữa vì bận,Hộp mới nhận hnay m cũng chưa khui nữa vì bận,6,-22.109846,-0.501972
nên mình không biết,Nên m k biết,1,-2.95155,64.788933
ở cái thảm nó ở hộp cái xích đu,Ơ cái thảm nó ở hộp cái xích đu,8,22.847466,0.088859
thanh chắn 2m nhé,Thanh chắn 2m nhé,8,16.203348,-22.26585
dùng được cho bé đến mấy tuổi,dùng đc cho bé đến mấy tuổi?,0,-4.605965,42.879566
nên hỏi muộn,Nên hơi muộn,3,-15.009409,-53.299774
mình từ sóc sơn lên,Mình từ sóc sơn lên,13,-40.801815,-8.18179
thế bgio có thanh đó à bạn,Thế bgio có thanh đó à b,2,48.459167,10.629062
ôi vậy à bạn,Ôi vậy à b,8,24.560299,-12.929875
khoảng 85 bạn ạ,Khoảng 85 b ạ,7,11.12494,-57.436794
tớ bận gọi điện,Tớ bận gọi điện,3,-0.885641,-54.202663
0944497993,0944497993,11,66.932289,-22.924374
đâu,Đâu,13,-49.662525,-18.598385
0944497993,0944497993,11,66.932442,-22.924189
0909510440,0909510440,11,70.307465,-31.032646
133 dương bá trạc p1 q8,"133 dương bá trạc, p1. q8",5,90.327324,10.834615
cho mình xin link với,Cho mình xin link vs,1,-2.830735,54.89983
grab qua lấy luôn,Grab qua lấy luôn,14,-26.373295,-19.743057
để mình đjă,Để mình đjawt,14,-27.942472,-14.809734
để grab được không,Để grab được k,12,-31.985971,43.107796
shop có thể cài đặt phần vận chuyển,Shop có thể cài đặt phần vận chuyển,14,-4.494503,-35.687042
máy hút mũi không shop,Mây hút mũi k shop,8,15.466811,-0.871257
còn,Còn,2,60.193989,24.271065
mình mua hàng bên nhà bạn rồi mà,Mình mua hàng bên nhà bạn rồi mà,1,6.379011,74.807091
bộ này nữa,Bộ này nữa,2,64.726395,44.343773
còn ảnh này là mã cũ ạ,Còn ảnh này là mã cũ ạ,8,41.739891,-6.559238
mà mới là ảnh này ạ,Mã mới là ảnh này ạ,9,49.739548,48.280952
ủa thế làm sao cho nó phun ra theo vòi ạ,ủa thế làm sao cho nó phun ra theo vòi ạ?,7,24.987099,-48.707928
nhanh nhất lên là nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,Nhưng nhấc lên là  nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,7,18.317762,-29.934338
☹️,☹️,11,60.210018,-41.114765
hay hỏng nên mới bị nước ra ngoài vậy ạ,Hay hỏng nên mới bị nước ra ngoài vậy ạ?,8,23.635818,4.545702
thoát ra dưới chân đấy ạ,Thoát ra dưới chân đấy ạ,7,14.379395,-54.976074
0989144779,0989144779,11,68.741798,-35.850029
thế ạ,Thế ạ.,2,68.444687,21.978273
tớ lấy thêm hộp trang điểm size lớn nhé,Tớ lấy thêm hộp trang điểm size lớn nhé,14,-1.092002,-41.362003
cái này còn hơn 100k à,Cái này còn hơn 100k à,2,44.372589,9.540581
mẫu trên ạ,mẫu tròn ạ,2,37.873325,40.61372
0357368468,0357368468,11,64.312988,-40.210842
to n03t4 chung cư ngoại giao đoàn gần ngã tư võ chí công - xuân la,Toà N03t4 chung cư Ngoại giao đoàn (gần ngã tư Võ Chí Công - Xuân La),13,-54.688656,-31.516657
và 1 det xúc xắc này,Và 1 det xúc xắc này,3,11.278553,-72.306816
đúng rồi bạn ạ,Đung rồi b ạ,9,20.479958,60.213985
bộ này bạn ạ,Bộ này bạn ah!,2,58.478817,43.201588
anh đấy bạn,Ảnh đấy bạn,8,17.26832,13.541455
shop cho mình hỏi,Shop cho mình hỏi,1,3.786964,90.744888
luôn trong hôm nay nhé ạ,Luôn trong hôm nay nhé ạ,12,-39.664017,60.598743
0904838456,0904838456,11,71.827652,-25.810497
2 khay nhé,2 khay nhé,14,-17.018103,-27.330387
shop ở đoạn nào í nhỉ,Shop ở đoạn nào í nhỉ,7,28.853647,-26.819771
gửi giúp mình 2 khay nhé,Gửi giúp mình 2 khay nhé,12,-35.420395,31.288033
báo lại mình tổng thanh toán,Báo lại mình tổng thanh toán,6,-10.258644,9.816103
mẫu này ạ,Mẫu này a,2,64.678345,42.398815
thế ạ,Thế ạ,2,68.444557,21.959669
mình mua tặng bé 1t,Mình mua tặng bé 1t,14,-19.888412,-16.424608
đúng rồi,Đúng r,12,-51.258911,42.171543
vậy thôi bạn ạ,vậy thôi b ạ,2,49.255554,40.648544
ở thông tin thôi có,ở TT Trôi cơ,13,-43.874523,-2.168373
bạn gói hàng cẩn thận giúp mình nha mình ở xa đổi trả khó mình sợ bị gãy này kia thì khổ,Bạn gói hàng cẩn thận giúp mình nha. Mình ở xa. Đổi trả khó. Mình sợ bị gãy này kia thì khổ,14,-4.787771,-45.583546
nhờ cho mình số bill mhé,Nhớ cho mình số bill mhes,14,-16.126446,-34.979698
bạn gửi đi bạn,Bạn gửi đi bạn,1,-2.691478,73.352676
mình nhận rồi sẽ thanh toán,Mình nhận r sẽ thanh toán,6,-15.50696,4.775011
cho em xin kích thước với ạ,Cho e xin kích thước vs ạ,5,69.918167,-3.214079
cho em xin kích thước nưã ạ,Cho e xin kích thước nưax ạ,5,66.290031,-2.363879
shop mình ở trên tay hồ ạ,Shop mình ở trên tây hồ ạ,4,-48.848255,7.555283
shop mình ở đâu ạ,Shop mình ở đâu ạ,4,-43.800297,9.258749
mình lắp được rồi,Mình lắp đc rồi,1,-9.231445,73.336411
báo giúp mình nhé,Báo giúp minh nhé,1,-24.09911,77.019691
bộ này với thảm,Bộ này với thảm,2,63.443306,44.880978
shop gửi hàng cho mình chưa,Shop gui hàng cho mình chưa,1,-17.088654,76.463959
số hình,Số mình,0,30.365198,38.131443
0969142599,0969142599,11,65.689362,-27.904272
người nhận mới mai phòng kế toán,Người nhận: Ms Mai phòng kế toán,14,-6.825099,-43.032146
lô 41c2 kcn quang minh mê linh hà nội,"Lô 41c2, KCN quang minh, mê linh, hn",13,-64.899094,-32.735962
công ty cp kỹ thuật và xây dựng phòng sạch chun wô,Công ty cp kỹ thuật và xây dựng phòng sạch chun woo,10,-73.277061,-53.100204
khu đô thị pháp vân hoàng liệt hoàng mai hà nội,"Khu đô thị pháp vân, hoàng liệt , hoàng mai hà nội",13,-72.385208,-11.310494
quây 1 8x2m và cầu trượt xích đu,"Quây 1,8x2m và cầu trượt xích đu",8,40.943935,-24.468184
máy của nước nào bạn,máy của nước nào b,2,59.483601,27.931671
kích thước như thế nào vậy shop,kích thước ntn v shop,5,74.140404,7.37686
vậy để mình qua mua trực tiếp,Vậy để m qua mua trực tiếp,6,-7.249947,9.611914
hơn tây,Sơn tây,13,-52.248638,-10.652439
toyota thăng long 316 cầu giấy,"Toyota Thăng Long, 316 Cầu Giấy",10,-52.96027,-48.717888
nguyễn quang vinh 0971123125,Nguyễn Quang Vinh 0971123125,10,-57.127766,-51.279495
bạn check giúp mình,B check giúp mình,12,-37.908512,37.625961
nhắn mình tổng số tiền,nhắn mình tổng số tiền,6,-10.722394,10.803434
bạn mình ở hà nội nhận hộ,bạn mình ở HN nhận hộ,4,-56.38821,12.426316
mình qua lấy luôn được không bạn,Mình qua lấy luôn đc ko b,1,-8.967718,74.309258
ngân hàng techcom,Ngân hàng techcom,10,-35.369034,-63.412395
0938220166,0938220166,11,65.192154,-36.859722
233 lê trọng tấn p sơn kỳ q tân phú,233 lê trọng tấn p sơn kỳ q tân phú,10,-54.255947,-41.154015
get started,Get Started,4,-73.430862,16.238466
hjcc,Hjcc,11,63.42783,-44.886707
bạn giao buổi sáng cho mình được không bạn,B giao buổi sáng cho m đc k b?,12,-21.624023,50.561264
bạn check nhé,B check nhé,6,-23.870344,10.633392
mình là tháo 0931252989 sảnh r4 royal city nhé,Mình là Thao 0931252989 sảnh r4 royal city nhé,3,-27.663918,-67.821327
mình thử lại luôn,Mình thử lại luôn,6,-24.784321,6.728557
đang đơ chút nhé,Đang đơ chút nhé,3,-18.862915,-61.488674
0963321700,0963321700,11,67.303932,-40.852028
mình không gửi kịp,Mình k gửi kịp,12,-32.142796,35.4618
không người ta lên máy bay,K ngta lên máy bay,7,8.988008,-34.968723
haizza,Haizza,11,60.711823,-30.599937
không trả tiền mặt hả shop,K trả tiền mặt hả shop,0,16.528351,14.856641
ghế là 680k đúng không bạn,Ghế là 680k đúng k bạn?,8,19.529289,10.415203
thảm xpe của hãng nào,Thảm xpe của hãng nào ?,7,38.575005,-46.348164
đây nữa ạ,Đây nữa ạ,8,40.047203,3.300654
ôi shop nghỉ rồi ạ tớ đang định mua cái thanh chắn cầu thang,"Ôi shop nghỉ rồi ah, tớ đang định mua cái thanh chắn cầu thang",8,30.884068,1.396429
thế ạ,Thế ạ,2,68.527786,22.002399
tớ đang cần gấp,T đang cần gấp,0,-3.861214,21.691357
thành phố thanh hoá,TP THANH HOÁ,4,-63.186314,-0.084154
tớ ở thành hoá,T ở thanh hoá,4,-61.164791,-3.691011
cái cũi quây báo tiên em,Cái cũi quây bao tiên e,14,0.646096,-26.447651
46 dương quảng hàm nhé,46 dương quảng hàm nhé,10,-41.45755,-63.345074
còn nhìu mẫu,Còn nhìu mẫu,3,15.449914,-70.808044
cứ gửi bthuon cũng được,Cứ gửi bthuon cũng dc,14,-9.492317,-40.317192
uh mình sợ quá lâu thôi,"Uh,m sợ quá lâu thôi",8,7.462386,-9.312804
uh gio đặt gửi tới quảng ngãi thì bao lâu nhận được,"Uh,gio đặt gửi tới Quảng Ngãi thì bao lâu nhận được",14,-7.991387,-43.819019
lọai trên chắc chắn hơn không chị,Lọai trên chắc chắn hơn ko c,8,16.281836,-16.043522
còn mẫu này ạ,Còn mẫu này ạ,2,64.547836,42.429192
bình sữa tini 1 tặnh 1 á chị,Binh sữa Tini 1 tặnh 1 á c,7,18.67144,-36.72031
đã không,Dạ ko,0,2.217542,34.902542
bóng vẽ hollq,bảng vẽ hollq,10,-59.924377,-67.255379
đàn nhạc thôi đúng không ạ,Đàn nhạc thôi đúng ko ạ,8,19.307482,-12.11387
đến an giang,Đến an giang,13,-54.480995,-9.41394
gửi hàng bao lâu vậy ạ,Gửi hàng bao lâu v ạ,0,0.633113,33.864113
gửi mình mua luôn nhé,Gửi m mua luôn nhé,1,-17.360668,83.815407
bạn có mẫu yếm silicon nào,B có mẫu yếm silicon nào,7,36.46909,-43.538654
2 loại của nước nào vậy ạ,2 loại của nước nào v ạ,2,59.972366,24.418411
được số 26 ngách 8/138 làng bún phú đô đường lê quang đạo nam từ liêm hà nội,"Đc: số 26 , ngách 8/138, làng bún Phú Đô, đường Lê Quang Đạo, Nam Từ Liêm,HN",13,-65.23127,-29.660418
hãng gì thế shop,Hãng gì thế shop,2,56.049416,15.191972
muốn đặt mua bộ này ạ,muốn đặt mua bộ này ạ,9,40.503819,67.910995
về mình tự lắp ráp hả shop,về m tự lắp ráp hả shop,8,13.668304,5.13965
bao gồm cầu trượt bập bênh và bóng rổ đó à,bao gồm cầu trượt bập bênh và bóng rổ đó à,8,39.210266,-24.406904
550k cả bập bênh hả chị,550k cả bập bênh hả c,7,23.628929,-40.517288
chính xác là 1m45,Chính xác là 1m45,3,-20.885275,-79.763786
nhà mình tầm 1m45 thôi,Nhà mình tầm 1m45 thôi,14,2.472997,-14.176719
và 1 thanh nối 3 6m,"Và 1 thanh nối 3,6m",8,38.070114,-20.911177
tầm 6-7h,Tầm 6-7h,10,-59.388462,-62.326672
mình gửi nhé,M gửi nhé,1,-22.245306,80.391281
thế bạn nhờ giúp ngoài giúp mình nhâ,Thế b nhờ giúp ngoài giúp m nhaaa 😍,6,-21.663893,-10.028821
get started,Get Started,4,-71.470345,17.784828
lật được để làm bàn phẳng vẽ phải không bạn,Lật dc để làm bàn phẳng vẽ phải k bạn,14,6.393442,-30.942291
liên hệ,Liên hệ,10,-50.005821,-61.254723
get started,Get Started,4,-74.025597,12.08388
cái này 4250k hả shop,Cái này 4250k hả shop,8,38.557732,-13.027103
có gì mình gọi sau nhé,Có gì mình gọi sau nhé,0,12.389565,52.124268
lâu quá,Lâu quá,8,14.250237,-5.103729
nhưng vẫn chưa thấy giao hàng bạn ạ,Nhưng vẫn chưa thấy giao hàng b ah,0,0.007929,44.264404
mình gọi tổng đài rồi,Mình gọi tổng đài rồi,14,-16.529137,-39.107819
ừ nhưng mình chắc mắc là không hề gọi để giao nhưng lại báo là giao không thanh công,Ừ nhưng m thắc mắc là ko hề gọi để giao nhưng lại báo là giao ko thành công,8,10.750087,3.963866
mà vẫn đơn đấy bạn,Mã vẫn đơn đấy b,0,-1.314909,34.671173
shopêtp 81811688,SHOPEEVTP81811688,5,79.984695,-17.806282
không,Ko,9,56.564682,67.278473
bạn có gối chaó nguoc cho bé hơn 1 tuổi jo,Bạn có gối chaos nguoc cho bé hon 1 tuổi jo,14,1.48912,-41.331165
bánh odi,Bánh odi,5,91.32814,7.365272
mình có tiki,Mình có Tiki,0,12.895428,51.29987
0909371772 chị vui,"0909371772, chị Vui",10,-63.765457,-65.553711
196 kinh dương vương p an lac a quận bình tân,"196 Kinh Dương Vương , p.An Lac A quận Bình Tân",13,-54.386089,-28.870663
size 31 5 ý,Size 31.5 ý,3,6.366292,-70.331223
size to còn 430k à,Size to còn 430k à,7,23.608717,-52.405819
size to mà bạn,Size to mà bạn,0,25.394697,39.27895
mình mua tặng,Mình mua tặng,1,5.002181,58.164509
hàng chính hãng đúng không bạn,Hàng chính hãng đúng ko bạn,0,2.529759,32.311802
0978686667,0978686667,11,69.973907,-33.788006
số 40 ngõ 61 giang văn minh,Số 40 ngõ 61 giang văn minh,13,-60.464493,-6.551257
size to,Size to,8,24.682322,-18.937799
thế cái này ạ,Thế cái này ạ?,2,62.850822,26.158144
bạn giao sớm giúp mình nhé,bạn giao sớm giúp mình nhé,1,-23.321922,65.231598
mình vừa order,mình vừa order,14,-17.947258,-37.908867
cho bé 7m,cho bé 7m,14,-25.956446,-26.720806
cốc tập hút richell nha,cốc tập hút richell nha,3,-12.499636,-71.384399
ạ tây hồ,à tây hồ,4,-61.625824,-2.898494
shop mình ở đâu nhỉ,shop mình ở đâu nhỉ,4,-43.828808,8.573448
nhà mình lúc nào cũng có người ở nhà,Nhà mình lúc nào cũng có ng ở nhà,0,24.273804,41.051941
hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,Hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,3,-31.712431,-70.042526
mình mua cái tiến áp về nên dùng không được,M mua cái biến áp về nên dùng k đc,6,-3.768067,14.295432
mình liên hệ với hồng hỏi lý do được rồi,M liên hệ với hãng hỏi lý do đc rồi,14,-10.363422,-28.089058
các dòng thì mình biết rồi cơ mà đầy nước mà nó vẫn báo hết nước là sao bạn nhỉ,Cách dùng thì m biết rồi. Cơ mà đầy nước mà nó vẫn báo hết nước là sao b nhỉ?,8,16.956434,14.55534
lần đầu dùng bị bỡ ngỡ quá,Lần đầu dùng bị bỡ ngỡ quá,3,-10.294373,-73.98156
cho nước vào khay chưa nước sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ,"Cho nước vào khay chưa nước , sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ",7,18.154963,-29.683483
konig kid cung hét hả,konig kid cung hét hả,10,-78.624176,-49.793732
cái này mình dùng ở thành phố hồ chí minh,Cái này mình dùng ở tphcm,4,-61.454201,1.069081
khuyến mại tới bao giờ shop,Km tới bao giờ shop,7,8.224646,-35.661495
ôi lâu quá t7 này mình lại về quê mất rồi,"Ôi lâu quá, t7 này mình lại về quê mất rồi",14,-5.289941,-34.745934
mấy mấy ngày shop,Mất mấy ngày shop,0,-1.872928,41.39381
mai là 1 tuần rồi mà mình vẫn chưa nhân được,"Mai là 1 tuân rôi mà m
Vân chua nhân dc",0,-3.415333,36.975491
khoảng mấy ngày nhận được vậy bạn,Khoang mây ngay nhận dc vay b,6,-16.721928,22.874027
da,Da,5,93.874809,3.175967
shop lấy em mẫu này nha,Shop lấy e mẫu này nha,9,38.540855,64.917816
rồi shop nhé,Rồi shop nhé,1,-9.358754,71.348007
mình lấy máy này,Mình lấy máy này,9,36.998512,71.153336
